district,state,product,govt_url,url_status,data_source,page_quality,facts_count,fields_changed,key_changes,warnings,enriched_at
Changlang,Arunachal Pradesh,Areca nut,https://changlang.nic.in,BASE,google,partial,3,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:40
East Siang,Arunachal Pradesh,Jaggery,https://eastsiang.nic.in,BASE,google,partial,5,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:45
Kamle,Arunachal Pradesh,Orange,https://kamle.nic.in,BASE,google,partial,6,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:46
Kra Daadi,Arunachal Pradesh,Large Cardamom,https://kradaadi.nic.in,BASE,google,partial,7,12,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|success_story_name|faq_1|logistics_info|opportunity_score,step_1_has_cost|suitable_for_generic,2026-04-26 18:47
Kurung Kumey,Arunachal Pradesh,Large Cardamom,https://kurungkumey.nic.in,BASE,google,partial,3,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost|suitable_for_generic,2026-04-26 18:48
Leparada,Arunachal Pradesh,King Chilli,,FAILED,google,partial,4,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:49
Lohit,Arunachal Pradesh,Mustard Seed,https://lohit.nic.in,BASE,google,partial,3,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:50
Lower Dibang Valley,Arunachal Pradesh,Ginger,,FAILED,google,partial,4,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:54
Namsai,Arunachal Pradesh,Turmeric,https://namsai.nic.in,BASE,google,partial,6,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:55
Papum Pare,Arunachal Pradesh,Turmeric,https://papumpare.nic.in,BASE,google,partial,3,11,production_scale|alert_stat|geo_anchor|famous_for_1_line|why_this_district|step_1_learn|step_2_source|suitable_for|faq_1|logistics_info|opportunity_score,step_1_has_cost,2026-04-26 18:57
